Down,Distance,Yardline,EPA
4,18,97,-1.55091
3,13,91,-0.452347
3,8,87,-0.172483
2,1,82,1.09385
3,5,86,0.405295
3,2,83,0.72384
3,4,85,0.447417
3,11,92,-0.447206
4,29,94,0
4,24,92,0
4,24,94,0
4,25,96,0
1,3,84,1.11573
4,17,92,-1.25264
4,18,94,-1.31307
4,16,92,-1.18432
3,1,82,0.955596
4,3,84,-0.30582
4,11,98,-1.35466
4,2,83,-0.190058
4,1,82,0.445209
2,30,91,0
1,19,81,0.70346
1,17,81,0.737366
1,15,81,0.861386
2,23,89,0
2,23,90,0
1,13,81,0.804573
2,13,83,0.34374
2,17,88,0.106405
3,27,92,0
1,7,81,1.24598
2,15,90,0.0322352
2,16,91,-0.0552931
1,4,81,1.05024
2,10,88,0.478135
2,9,87,0.654276
1,2,81,1.20638
2,7,86,0.764253
1,1,81,1.29065
2,4,84,0.846604
2,2,82,1.03098
3,34,95,0
1,7,84,1.2198
3,27,89,0
3,28,90,0
3,24,88,0
3,25,91,0
4,18,99,-1.76426
3,13,89,-0.230225
3,20,96,-0.852649
3,9,86,-0.020397
4,18,96,-1.35238
3,13,90,-0.237566
3,10,88,-0.38896
2,1,81,1.24713
3,11,91,-0.143533
3,5,85,0.369222
3,4,84,0.50668
3,2,82,0.774498
4,29,93,0
4,24,95,0
4,16,91,-1.21646
4,12,90,-1.13189
4,13,92,-1.17514
4,5,84,-0.923144
3,1,81,1.1504
4,11,99,-1.73854
4,2,82,-0.411654
4,1,81,0.674577
1,19,80,0.718021
2,29,91,0
1,17,80,0.738817
1,15,80,0.878418
1,13,80,1.21502
2,24,92,0
2,15,84,0.300715
2,23,93,0
3,27,93,0
1,7,80,1.2886
2,17,90,0.145934
2,16,89,0.0110417
2,16,90,-0.123057
1,4,80,1.16473
2,10,86,0.533851
2,17,93,-0.0561014
1,2,80,1.33703
1,1,80,1.30775
2,4,83,0.949113
2,2,81,1.1294
1,7,85,1.05614
3,27,88,0
3,18,88,-0.769146
3,18,89,-0.704569
4,18,98,-1.46744
3,13,88,-0.269356
3,8,85,0.0394579
3,10,87,-0.0114864
3,11,90,-0.109358
3,4,83,0.741732
3,5,84,0.13739
3,2,81,0.854672
4,29,91,0
4,29,92,0
4,24,93,0
4,16,89,-1.10923
4,13,88,-1.12424
4,13,90,-1.04098
4,12,89,-1.10342
4,13,91,-1.1137
4,5,83,-0.749572
3,1,80,1.02652
4,11,92,-1.24536
4,2,81,-0.151097
4,1,80,0.303024
2,27,86,0
1,19,79,0.779494
1,17,79,0.760369
2,23,85,0
2,24,87,0
1,15,79,0.803464
2,24,88,0
2,17,82,0.259972
1,13,79,0.950925
2,13,82,0.416862
2,20,89,0.0149371
3,30,94,0
1,9,79,1.04877
2,17,87,0.0959814
2,15,85,0.241335
1,7,79,1.18632
2,17,89,0.0793798
2,17,91,0.157768
1,4,79,1.27593
2,7,82,0.880456
2,8,84,0.560534
2,13,89,0.349218
2,13,90,0.169855
2,7,84,0.918807
2,4,81,0.964733
2,9,86,0.54295
2,3,80,1.05939
1,1,79,1.47022
2,3,81,1.07378
2,2,80,1.14654
2,4,82,0.887466
3,34,93,0
1,17,99,-0.0724417
3,28,88,0
1,7,86,0.902751
3,27,87,0
3,26,88,0
3,24,87,0
3,25,89,0
3,24,89,0
3,18,87,-0.612477
3,15,88,-0.503245
3,13,87,-0.00433081
3,9,83,0.0660991
3,9,84,0.290648
3,9,85,-0.102252
3,10,86,0.125596
3,4,81,0.651713
2,1,79,1.21669
3,4,82,0.498299
3,11,89,-0.385605
3,5,83,0.266577
3,2,80,0.667807
4,16,88,-1.02033
4,23,96,0
4,16,90,-1.02656
4,12,88,-1.07631
4,3,81,-0.396281
4,11,93,-1.32816
4,2,80,-0.292535
2,11,98,-0.170126
4,2,84,-0.19657
4,11,89,-1.09942
4,26,92,0
4,9,87,-0.974283
4,1,79,0.296829
2,24,82,0
1,19,78,1.02766
2,30,89,0
2,27,87,0
1,17,78,0.98871
2,27,88,0
1,15,78,1.0294
1,13,78,1.02488
2,23,88,0
2,20,86,0.028646
2,20,87,-0.0649685
2,20,88,0.144334
3,30,95,0
1,9,78,1.28262
1,7,78,1.19501
2,15,86,0.0857448
2,15,87,0.240796
2,16,88,-0.0478456
2,14,86,0.301691
2,9,82,0.862605
2,10,83,0.657078
1,4,78,1.37821
2,15,89,0.184155
2,10,84,0.588233
2,8,83,0.787519
2,9,85,0.606464
2,7,83,0.735493
1,1,78,1.2828
2,8,85,0.696879
2,10,87,0.652941
2,2,79,1.05439
3,28,87,0
1,7,87,1.03591
3,27,86,0
1,17,98,0.0392393
3,28,89,0
3,24,85,0
3,25,88,0
3,20,86,-0.726641
3,11,83,0.00848827
3,16,89,-0.475183
3,13,86,-0.0139491
3,10,84,0.0321631
3,8,83,0.221012
3,10,85,-0.13534
3,5,81,0.547746
2,1,78,1.2432
3,2,79,0.999957
3,11,88,-0.259087
3,5,82,0.476001
1,3,86,1.04121
4,17,90,-1.06288
4,28,93,0
4,24,90,0
4,16,87,-0.897
1,3,88,1.07866
4,28,95,0
4,17,88,-1.08641
1,3,91,1.0944
4,28,94,0
4,17,89,-1.09141
4,12,87,-0.87735
4,13,89,-1.16086
4,5,81,-0.518765
4,26,93,0
4,9,86,-0.719278
4,5,82,-0.276632
2,11,99,-0.189986
4,2,85,-0.169062
4,11,88,-0.895829
4,3,80,-0.608281
2,30,98,0
4,1,78,0.654173
1,19,77,0.914546
1,17,77,0.736658
2,24,84,0
2,20,80,0.173662
1,15,77,0.955366
2,24,86,0
2,27,89,0
1,13,77,0.979706
2,20,85,0.000220707
2,16,81,0.317243
2,17,83,0.165429
2,15,82,0.324947
3,30,92,0
1,9,77,1.12649
2,17,85,0.168729
2,16,85,0.287914
1,4,77,1.29475
2,14,87,0.3233
2,4,79,1.08731
2,14,89,0.329041
2,10,85,0.822394
1,1,77,1.45608
2,2,78,1.09646
2,4,80,1.13017
3,22,94,0
3,29,86,0
3,22,95,0
3,29,87,0
1,7,88,0.858336
3,27,85,0
3,25,87,0
3,13,84,-0.105368
3,16,87,-0.53823
3,16,88,-0.702617
3,20,92,-0.81936
3,9,82,0.387648
3,11,85,0.00692759
3,4,80,0.769576
3,2,78,0.762138
3,11,87,-0.168573
1,3,89,0.947327
4,17,91,-1.09546
4,28,92,0
4,24,91,0
4,18,87,-0.863424
1,12,88,0.803505
4,15,88,-1.10542
4,13,87,-0.844645
4,12,86,-0.805448
4,26,95,0
4,9,84,-0.812767
4,5,80,-0.571163
4,3,78,-0.0810736
4,3,79,-0.420208
4,9,85,-1.05038
4,11,87,-0.95696
4,2,78,-0.39534
4,1,77,0.425987
1,19,76,0.977517
1,17,76,1.15142
2,19,78,0.302684
1,15,76,1.07911
2,24,85,0
1,13,76,1.32649
2,16,80,0.266636
3,30,93,0
1,9,76,1.21909
4,3,96,-0.798781
2,16,87,-0.00912619
2,9,80,0.735992
2,10,81,0.733871
1,4,76,1.27858
2,13,85,0.345713
2,8,94,0.427296
1,14,84,0.970604
2,6,78,1.10291
2,10,82,0.558263
1,14,81,0.953352
2,8,81,0.914935
2,8,93,0.352442
1,14,85,0.698335
2,6,79,0.948986
2,9,83,0.695481
2,13,87,0.602348
1,1,76,1.19854
2,2,77,1.12037
3,34,90,0
3,26,83,0
3,25,86,0
3,24,86,0
3,29,93,0
3,22,85,0
3,18,82,-0.537552
3,29,94,0
3,22,86,0
1,18,98,0.285879
3,21,86,0
3,18,85,-0.507044
3,18,86,-0.596366
3,25,93,0
3,16,84,-0.449718
3,20,91,-0.70131
3,9,80,0.269256
3,13,85,-0.112498
3,9,81,0.0518634
3,10,83,-0.0302959
2,1,76,1.33509
3,5,80,0.624021
3,2,77,0.856923
3,4,79,0.782966
4,24,89,0
4,18,86,-0.819401
4,12,85,-0.99061
4,2,79,-0.101557
4,11,86,-0.906828
4,1,76,0.452746
1,19,75,0.775458
2,22,84,0
2,25,81,0
2,28,84,0
2,27,84,0
1,17,75,0.953115
1,15,75,1.01853
2,23,83,0
1,13,75,1.24808
2,17,79,0.324752
2,23,86,0
2,20,84,0.0527117
1,9,75,1.07005
2,13,80,0.652948
2,14,84,0.441413
1,4,75,1.30019
2,13,84,0.337756
2,7,79,0.74466
1,14,82,1.1764
2,8,80,0.813768
2,13,86,0.64931
2,15,88,0.190306
1,1,75,1.41503
2,14,88,0.302179
2,4,78,1.07922
1,14,80,0.854812
2,8,82,0.638475
2,2,76,1.19726
3,24,79,0
1,7,90,0.915992
3,27,83,0
3,22,93,0
3,29,85,0
3,24,83,0
3,25,85,0
3,25,90,0
3,18,83,-0.368779
1,18,99,-0.0510549
3,21,87,0
3,13,82,-0.284545
3,20,90,-0.582686
4,4,91,-0.586885
3,9,79,0.294695
3,16,86,-0.517175
3,6,78,0.428977
3,10,82,-0.158844
3,5,78,0.498228
3,6,79,0.402727
2,1,75,1.446
3,17,86,-0.682437
3,3,77,0.822281
3,8,82,0.0480054
3,4,78,0.765572
3,2,76,0.901458
3,5,79,0.453932
4,18,85,-1.22469
4,12,80,-0.825458
1,3,95,0.752683
4,28,90,0
4,17,85,-1.15665
1,12,76,1.23002
4,15,84,-0.963381
4,16,85,-1.24302
4,16,86,-0.859966
1,12,75,1.07703
4,15,85,-1.13455
4,12,84,-0.947986
4,13,86,-0.842421
4,5,79,-0.765929
4,3,77,-0.319397
4,1,75,0.468646
1,19,74,0.999234
1,17,74,1.03773
2,1,98,0.618614
2,25,90,0
2,22,79,0
2,28,86,0
1,15,74,1.04324
1,13,74,1.24026
2,23,84,0
4,15,86,-0.978429
1,12,74,1.19697
2,20,82,0.228356
2,23,87,0
3,30,91,0
1,9,74,1.36399
