Down,Distance,Yardline,play_type,Optimal Choice,EP
1,14,14,run,0,0.3615343000055873
1,14,15,pass,1,-0.6377880890504457
1,14,20,pass,1,1.8046503218938597
1,14,22,run,0,0.15326279459986836
1,14,27,pass,1,0.30506001703906804
1,14,30,pass,1,-0.3736836799653247
1,14,40,run,0,1.4383351166034117
1,14,43,run,0,-0.28058119397610426
1,14,52,run,0,0.1355096252518706
1,14,60,pass,1,1.012839961796999
1,14,61,run,0,-0.5836877850815654
1,14,71,pass,1,-1.1666345191188157
1,14,79,run,0,1.380883814767003
1,14,82,run,0,-0.38942971266806126
1,14,85,run,0,0.6266541751101613
1,14,92,pass,1,0.6603797835996374
1,14,93,pass,1,-0.35476497968193144
1,14,95,pass,1,1.170288421989729
1,14,96,run,0,-0.1051296160245935
1,14,97,pass,1,0.2751791076734662
1,15,15,run,0,-0.031176656630123034
1,15,16,run,0,-0.17998004444719604
1,15,17,pass,1,0.9241737350239418
1,15,18,run,0,0.07413366244145436
1,15,19,pass,1,0.06730055741112058
1,15,20,pass,1,0.6410917945904657
1,15,21,pass,1,0.9766319791281906
1,15,22,pass,1,0.23413496003680248
1,15,23,pass,1,0.7278514778008685
1,15,24,run,0,0.16646741097792983
1,15,25,pass,1,0.47084798944997597
1,15,26,pass,1,0.8748679346608697
1,15,27,run,0,0.11257702777428286
1,15,28,pass,1,0.8499590254621581
1,15,29,run,0,0.16225271447910927
1,15,30,pass,1,0.9356818403612124
1,15,31,pass,1,0.07898978272850979
1,15,32,pass,1,0.17547087588172872
1,15,33,run,0,0.6833803349485
1,15,34,run,0,0.4193000272032804
1,15,35,pass,1,0.19814221225096848
1,15,36,run,0,-0.07894704071804881
1,15,37,run,0,0.01570595293014776
1,15,38,run,0,-0.08077618369134143
1,15,39,field_goal,2,1.6572649153511527
1,15,40,pass,1,-0.12212980161088388
1,15,41,run,0,0.37463685564580373
1,15,42,pass,1,0.8671864287365072
1,15,43,field_goal,2,2.038668835372915
1,15,44,pass,1,0.012346419195334097
1,15,45,run,0,0.18107080673022818
1,15,46,pass,1,-0.168273161893012
1,15,47,pass,1,0.2885248895472614
1,15,48,run,0,0.10504554826507552
1,15,49,pass,1,0.31678056342273275
1,15,50,pass,1,0.5755742792805124
1,15,51,pass,1,0.09997031694365432
1,15,52,pass,1,0.1894465110017336
1,15,53,pass,1,0.2238246743153367
1,15,54,pass,1,0.4843984601078167
1,15,55,pass,1,0.9909915901662316
1,15,56,run,0,-0.2244556179244278
1,15,57,pass,1,0.10667449158305924
1,15,58,run,0,0.003363788321924688
1,15,59,pass,1,0.7236484806926455
1,15,60,pass,1,0.48291710840809765
1,15,61,pass,1,0.3106076212861808
1,15,62,run,0,0.6870153176908692
1,15,63,run,0,-0.17576368665322661
1,15,64,pass,1,0.47709072653490775
1,15,65,run,0,1.3521188476588577
1,15,66,run,0,0.2681160937994719
1,15,67,pass,1,0.5820845096346198
1,15,68,run,0,0.6875831657380331
1,15,69,run,0,0.17987069655727178
1,15,70,pass,1,0.21923838697302223
1,15,71,run,0,0.6934043828514405
1,15,72,pass,1,0.8469409628596622
1,15,73,pass,1,0.15096631982790615
1,15,74,pass,1,0.5147658183705062
1,15,75,run,0,-0.1013749320732636
1,15,76,pass,1,0.0516243294631648
1,15,77,run,0,-0.15418646545731463
1,15,78,run,0,0.15845597413551463
1,15,79,run,0,0.40814041666453704
1,15,80,run,0,0.12197732612257825
1,15,81,pass,1,0.48319485131651163
1,15,82,run,0,0.15323441450163955
1,15,83,pass,1,-0.12716564423005497
1,15,84,pass,1,0.4485292838196203
1,15,85,pass,1,0.18432331228699608
1,15,86,pass,1,0.128642791818658
1,15,87,pass,1,1.2319221893428929
1,15,88,run,0,0.7214315534802154
1,15,89,run,0,0.32939134196688735
1,15,90,pass,1,0.30466374700578547
1,15,91,pass,1,0.8256879146210849
1,15,92,pass,1,0.27990473152992
1,15,93,pass,1,1.243646732182242
1,15,94,pass,1,0.09819183481158689
1,15,95,pass,1,0.5461895375192398
1,15,96,pass,1,-0.49182520201429725
1,16,16,pass,1,0.49189017061144114
1,16,21,pass,1,-0.3973531508236192
1,16,22,run,0,-0.05673838371876627
1,16,28,run,0,-0.36814995133318007
1,16,31,run,0,0.049954610876739025
1,16,34,pass,1,0.08278104569762945
1,16,39,pass,1,-0.6202745826449245
1,16,40,run,0,-0.5613312923815101
1,16,42,pass,1,-0.5782356974668801
1,16,49,run,0,0.09434411337133497
1,16,50,pass,1,-3.124909183010459
1,16,51,pass,1,1.4429507034365088
1,16,54,pass,1,-0.2529886544216424
1,16,55,run,0,-4.826748945284635
1,16,58,pass,1,-0.6210318701341748
1,16,59,run,0,-0.20872618386056274
1,16,61,pass,1,-0.9370112521573901
1,16,65,pass,1,0.22929681767709553
1,16,66,pass,1,0.42753552680369467
